sl_contract_id,sie_ic_ruc,sie_ic_proveedor,sie_ic_monto_presupuestado,sie_ic_monto_contrato,sie_ic_monto_adjudicacion,sie_ic_indicador_01,sie_ic_indicador_04,sie_ic_indicador_05,sie_ic_indicador_06,sie_ic_indicador_09,sie_ic_indicador_11,sie_ic_indicador_15,sie_ic_indicador_19,sie_ic_indicador_22,sie_ic_indicador_25,sie_ic_indicador_26,sie_ic_indicador_27,sie_ic_promedio,sd_entidad,sd_plazo_de_entrega,sd_objeto_de_proceso,sd_vigencia_de_oferta,sd_funcionario_encargado_del_proceso,sd_presupuesto_referencial_total_sin_iva,mean_document_similarity,mean_objeto_similarity,sd_autoridad_autoridad_ordenadora_de_gasto,sd_autoridad_maxima_autoridad_institucional,sd_autoridad_maxima_autoridad_responsable_de_la_gestion_administrativa__financiera,sd_comision_delegado_del_titular_del_area_requirente,sd_comision_delegado_del_profesional_afin_al_objeto_de_la_contratacion_designado_por_la_maxima_autoridad,sd_comision_profesional_afin_al_objeto_de_la_contratacion_designado_por_la_maxima_autoridad,"sd_comision_profesional_designado_por_la_maxima_autoridad,_quien_lo_presidira",sd_comision_secretario/a,sd_comision_titular_del_area_requirente,sie_ic_day,sie_ic_month,sie_ic_dow_friday,sie_ic_dow_monday,sie_ic_dow_saturday,sie_ic_dow_thursday,sie_ic_dow_tuesday,sie_ic_dow_wednesday,sie_ic_estado_proc_adjudicado_-_registro_de_contratos,sie_ic_estado_proc_cancelado,sie_ic_estado_proc_desierta,sie_ic_estado_proc_ejecucion_de_contrato,sie_ic_estado_proc_en_recepcion,sie_ic_estado_proc_finalizada,sie_ic_estado_proc_finalizado_por_mutuo_acuerdo,sie_ic_estado_proc_negociacion,sie_ic_estado_proc_por_adjudicar,sie_ic_estado_proc_suspendido,sie_ic_estado_proc_terminado_unilateralmente,sd_tipo_compra_bien,sd_tipo_compra_servicio,sd_comision_no,sd_comision_si,sd_variacion_puja,sd_anticipo_pct,sd_saldo_otra_-_revisar_terminos_de_referencia,sd_saldo_pago_a_30_dias,sd_saldo_pago_a_45_dias,sd_saldo_pago_contra_entrega_de_bienes_obras_o_servicio,sd_saldo_pagos_por_planilla,sd_estado_adjudicado,sd_estado_cancelado,sd_estado_desierta,sd_estado_ejecucion,sd_estado_finalizada,sd_estado_otro,sd_estado_recepcion
1755652,nan,,0.0,0.0,0.0,,1.0,1,1.0,,,0,,,0.0,1.0,1.0,0.71,SANTA BARBARA EP,20,ADQUISICIÓN DE EQUIPO ROBOCOP ANTIMOTÍN,90,compras@santabarbara.gob.ec,,0.5552861625833977,0.0924295258829202,LOPEZ ANIBAL ALFREDO,LOPEZ ANIBAL ALFREDO,PALACIOS MOYA KATI DE LOURDES,AYO SIMBAÑA CARLOS WILMER,CALVOPIÑA CRUZ WILLIAM DAVID,,PERUGACHI MALDONADO EDISON ANDRES,AMAGUAÑA CAZA NATHALY YESSENIA,,20,12,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0.01,0.5,True,False,False,False,False,False,False,True,False,False,False,False
1747349,nan,,0.0,0.0,0.0,,1.0,1,1.0,,,0,,,1.0,1.0,1.0,0.86,UNIVERSIDAD DE GUAYAQUIL,90,ADQUISICIÓN DE SIMULADORES PARA LABORATORIOS DE LA CARRERA DE MEDICINA,90,bianca.solanov@ug.edu.ec,,0.6636275505212361,0.0306120220994053,PERALTA BRAVO ILEANA MONSERRATE,MORAN PEÑA FRANCISCO LENIN,MEDINA ZAMBRANO RODRIGO PATRICIO,,,,,,,24,11,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.01,0.5,False,False,False,True,False,False,False,True,False,False,False,False
1746667,nan,,0.0,0.0,0.0,,1.0,1,1.0,,,0,,,1.0,1.0,1.0,0.86,HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN,730,ADQUISICIÓN DE REPUESTOS Y CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA EL EQUIPO ECÓGRAFO IE33 PERTENECIENTE AL SERVICIO DE ELECTROCARDIOGRAFÍA DEL HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARÍN,90,jorgearman.00@gmail.com,,0.7121114296941325,0.0665878430219557,TRUJILLO ARELLANO MARIA JOSE,FLORES OLMEDO MARIA JOSE,MENA CALAHORRANO PATRICIA ALEJANDRA,,,,,,,23,11,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.05,0.0,True,False,False,False,False,False,False,True,False,False,False,False
1746522,nan,,0.0,0.0,0.0,,1.0,1,0.0,,,0,,,1.0,1.0,1.0,0.71,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE ESMERALDAS,20,ADQUISICIÓN DE EQUIPOS MEDICOS PARA EL DISPENSARIO MEDICO LABORAL DEL GADPE,90,mcorozo28@gmail.com,,0.7100573643607611,0.0303483541025608,ZAMBRANO ORTIZ MARIA ROBERTA,ZAMBRANO ORTIZ MARIA ROBERTA,MIKETTA LOPEZ EMILIA GABRIELA,,,,,,,23,11,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.05,0.0,False,False,False,True,False,False,False,True,False,False,False,False
1746358,991445242001.0,DIEMPEC CIA. LTDA. DISTRIBUIDORA FARMACEUTICA,25800.0,24252.0,24252.0,1.0,1.0,1,0.0,,,0,0.0,,,1.0,1.0,0.63,Hospital Guayaquil Abel Gilbert Ponton,10,ADQUISICIÓN DE BENDAMUSTINA SOLIDO PARENTERAL 100 MG Y 25 MG PARA EL HOSPITAL DE ESPECIALIDADES GUAYAQUIL “DR. ABEL GILBERT PONTON“.,90,szea@hospitalguayaquil.gob.ec,25800.0,0.3893774372416098,0.040768581527614,PAZ SANCHEZ CARLOS EMILIO,PAZ SANCHEZ CARLOS EMILIO,SAGÑAY INTRIAGO GUSTAVO ALBERTO,,,,,,,22,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.01,0.0,False,False,False,True,False,False,False,False,False,False,False,True
1745511,1792613086001.0,COMPAÑIA DE TRANSPORTE LOGISTCS SA,293182.9,274044.97,274044.97,1.0,1.0,1,1.0,,,1,0.0,,,1.0,0.0,0.75,Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR,1095,"SERVICIO DE MANEJO DE CORRESPONDENCIA Y/O PAQUETES A NIVEL LOCAL, NACIONAL E INTERNACIONAL A NIVEL CORPORATIVO DE LA EP PETROECUADOR",90,Carla.Roman@eppetroecuador.ec,293182.9,0.5217454642210947,0.0125368155986434,CHASIPANTA LLULLUNA MARCIA ELIZABETH,AGUIAR LOZANO HUGO FERNANDO,POZO CEVALLOS JUAN PABLO,ORTEGA GANCINO CRISTIAN ANDRES,,SORIANO VARGAS BETTSY MARIA,MORA NAZARENO JENNY ISABEL,VITERI CEDEÑO JACQUELINE,,18,11,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0005,0.0,True,False,False,False,False,False,False,False,True,False,False,False
1744586,nan,,0.0,0.0,0.0,,1.0,1,1.0,,,0,,,1.0,1.0,1.0,0.86,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,120,"ADQUISICIÓN DE GASA DE ALGODÓN, 90 CM X 100 M, 24 HEBRAS",90,marcelo.berrezueta@iess.gob.ec,,0.6310995097452821,0.0211272234018786,LOZADA LEON CARLOS ARTURO,GUAMAN BUESTAN MANUEL CRUZ,GUAMAN BUESTAN MANUEL CRUZ,,,,,,,16,11,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.05,0.0,True,False,False,False,False,False,False,True,False,False,False,False
1709263,503108318001.0,VILLARROEL HERRERA WALTER JAVIER,219600.0,217187.0,217187.0,1.0,0.0,0,1.0,0.0,1.0,0,0.0,1.0,,1.0,1.0,0.55,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON LATACUNGA,120,ADQUISICIÓN E INSTALACIÓN DE UN SISTEMA DE ALARMAS COMUNITARIAS PARA DIFERENTES BARRIOS DEL CANTÓN LATACUNGA.,60,monica.coque@latacunga.gob.ec,219600.0,0.6819583862643106,0.0325382332806977,CARDENAS CERDA BYRON MAURICIO,CARDENAS CERDA BYRON MAURICIO,OCHOA ESPIN ANGELA JOHANNA,,,CEVALLOS CUEVA FREDDY ALEJANDRO,NAVAS CHACON IVAN TRAJANO,COQUE TUAPANTA MONICA CATALINA,CALDERON ZAMBONINO LUIGI ANDRES,16,6,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.005,0.5,False,False,False,True,False,False,False,False,True,False,False,False
1707081,nan,,0.0,0.0,0.0,,1.0,1,1.0,,,0,,,,1.0,1.0,0.83,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE DURAN - EMPRESA PUBLICA EMAPAD EP,10,SERVICIO DE MANTENIMIENITO PREVENTIVO Y CORRECTIVO DEL POZO #6,90,jmoreira@emapad.gob.ec,,0.5650872054819827,0.0185155198881577,MENDOZA LUQUE CHRISTIAN ADOLFO,MENDOZA LUQUE CHRISTIAN ADOLFO,POLIT CORTEZ STEFANO EDUARDO,,,,,,,7,6,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0005,0.0,False,False,False,True,False,False,True,False,False,False,False,False
1704800,nan,,0.0,0.0,0.0,,1.0,1,,,,0,,,,1.0,1.0,0.8,HONORABLE GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO,90,ADQUISICIÓN DE UN TRACTOR ROTURADOR DE SUELOS PARA EL HONORABLE GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PROVINCIA DE CHIMBORAZO,60,jvillalon@chimborazo.gob.ec,,0.6874347686838201,0.0290229138150634,HERRERA ESTRADA DANIEL LENIN,CRUZ CARRILLO JUAN PABLO,CALVACHE BOMBON JORGE JAVIER,NOVILLO SALTOS CESAR AUGUSTO,,HERNANDEZ DAVILA FRANCISCO JAVIER,RODRIGUEZ LARREA JUAN FRANCISCO,PILCO AMANTA JESSICA PATRICIA,,30,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0.01,0.5,False,False,False,True,False,False,True,False,False,False,False,False
